address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),is_successful
"Ginger Hotel, 128, EPIP Phase 2, Opposide KTPO and SAP Lab, Whitefield, Bangalore",Afoozoo - Ginger Hotel,No,No,3.5,40,Whitefield,Casual Dining,,"North Indian, Chinese",800.0,Dine-out,Whitefield,0
"The Oberoi, 37-39, MG Road, Bangalore",Polo Club - The Oberoi,No,No,4.1,115,MG Road,Fine Dining,"Sangria, Wine, Burgers, Tea, Cheesecake, Cheese Croquettes, Chicken Grill","American, North Indian, European, Tex-Mex",3000.0,Dine-out,Indiranagar,1
"57, 1st & 2nd Floor, SLV Arcade, 40th Cross, 5th Block, Jayanagar, Bangalore",Desi Rasoi,Yes,Yes,3.8,362,Jayanagar,Casual Dining,"Hara Bhara Kebab, Lunch Buffet, Naan, Babycorn Manchurian, Malai Kofta, Noodles, Gulab Jamun","Biryani, North Indian, Chinese, Rajasthani",600.0,Delivery,BTM,1
"Dr. Meera Complex, Near Reliance Fresh, Whitefield, Bangalore",Siddharth Restaurant,No,No,3.6,33,Whitefield,Quick Bites,"Thali, Biryani","North Indian, Chinese",400.0,Delivery,Whitefield,0
"Ground Floor, EPIP Zone, Near BMTC Bus Depot, Whitefield, Bangalore",Bloomsbury's Global Kitchen & Bakehouse,Yes,Yes,4.5,751,Whitefield,"Cafe, Dessert Parlor","Pizza, Cheesecake, Burgers, Pasta, Waffles, Veg Burger, Chocolate Cake","American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",900.0,Delivery,Marathahalli,1
"Markham Road, Ashok Nagar, Brigade Road, Bangalore",Lassi Shop,Yes,No,3.7,17,Brigade Road,Beverage Shop,,"Beverages, Ice Cream",200.0,Desserts,MG Road,0
"3, Archana Building, Sector 4, HSR, Bangalore",Cafe Coffee Day The Lounge,Yes,No,3.8,76,HSR,Cafe,"Coffee, Cappuccino","Cafe, Fast Food",650.0,Delivery,Koramangala 5th Block,1
"26, Lady Curzon Road, Opposite Bowring Hospital, Shivajinagar, Bangalore",Shilpa Vegetarian Restaurant,No,No,3.7,0,Shivajinagar,Quick Bites,,"South Indian, North Indian, Chinese",350.0,Delivery,MG Road,0
"1st A Main Road, Koramangala 7th Block, Bangalore",The Retro,Yes,No,3.2,47,Koramangala 7th Block,Quick Bites,,"Chinese, Burger",300.0,Delivery,Koramangala 4th Block,0
"2022, 100 Feet Road,HAL 2nd Stage, Indiranagar, Bangalore",Pasta Street,Yes,Yes,4.5,1670,Indiranagar,Casual Dining,"Pasta, Pizza, Garlic Bread, Ravioli, Orange Mojito, Chicken Calzone, Mocktails","Italian, Pizza, Salad",1300.0,Buffet,Old Airport Road,1
"197/293-3, 32nd Main, 1st Stage, BTM, Bangalore",sCoolMeal,No,No,3.7,0,BTM,"Takeaway, Delivery",,"North Indian, South Indian, Chinese, Pizza",300.0,Delivery,Koramangala 5th Block,0
"Plot 11, Behind Nasi & Mee, Near Maple Green Deluxe, 80 Feet Road, Koramangala 4th Block, Bangalore",Crown Gold,Yes,No,3.9,49,Koramangala 4th Block,Quick Bites,Sea Food,"South Indian, Chinese, Seafood",400.0,Dine-out,Koramangala 7th Block,0
"OYO TOWNHOUSE 038 BANASWADI 100FT ROAD ,HBR LAYOUT, 1ST BLOCK,BANGLORE",XO Cafe,Yes,No,3.7,0,Banaswadi,Cafe,,Cafe,300.0,Cafes,Kalyan Nagar,0
"28/1, 4, Vivek Nagar Post, Ejipura Main Road, Ejipura, Bangalore",Ambur Hot Dum Biryani,No,No,3.3,8,Ejipura,Quick Bites,,Biryani,100.0,Delivery,Koramangala 4th Block,0
"51, 5th Main, 60 Feet Road, BNG Homestay Building, Jai Bheema Nagar, 1st Stage, BTM, Bangalore",Bisimillah Biriyani,No,No,3.5,11,BTM,Quick Bites,,"Biryani, Fast Food",300.0,Dine-out,Koramangala 4th Block,0
"28/1, 4, Vivek Nagar Post, Ejipura Main Road, Ejipura, Bangalore",Ambur Hot Dum Biryani,No,No,3.3,8,Ejipura,Quick Bites,,Biryani,100.0,Dine-out,Koramangala 5th Block,0
"752, 1st Floor, 80 Feet Road, Koramangala 4th Block, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© S,No,No,3.2,4,Koramangala 4th Block,Cafe,,"Cafe, American, European",600.0,Cafes,Koramangala 6th Block,0
"271, Opposite Amruth Park Entrance, 17th F Main, KHB Colony, Koramangala 5th Block, Bangalore",Flavour of Himalaya,Yes,No,3.7,24,Koramangala 5th Block,Quick Bites,,Asian,500.0,Delivery,Koramangala 7th Block,0
"2, Church Street, Bangalore",Matteo Coffea,No,No,4.4,2652,Church Street,Cafe,"Coffee, Pasta, Donut, Salads, Choco Brownie Shake, Tiramisu Cheesecake, Sandwiches",Cafe,600.0,Cafes,Residency Road,1
"2609, 27th Main, 16th Cross, Opposite NIFT College, HSR Layout, HSR, Bangalore",Just Bake,Yes,No,3.6,154,HSR,Bakery,"Omelette, Mocha Coffee, Chicken Mayo Sandwich, Sandwiches, English Breakfast","Bakery, Desserts",400.0,Desserts,HSR,0
"B120, Near SJR I Park, Opposite Hotel Marriot, Whitefield, Bangalore",Meghana Grand,Yes,No,3.5,131,Whitefield,Casual Dining,Chicken Biryani,"Biryani, Andhra",800.0,Delivery,Brookefield,0
"Near Infosys Gate 6, Opp. Alti Metric Company, Electronic City, Bangalore",Sri Varu Food Corner,No,No,3.7,0,Electronic City,Quick Bites,,South Indian,150.0,Dine-out,Electronic City,0
"1304, 7th Cross Rd AECS Layout - D Block, AECS Layout, Marathahalli",Parasme,Yes,No,3.7,42,Marathahalli,"Quick Bites, Dessert Parlor",,"Continental, Italian, Chinese, North Indian, Momos",400.0,Delivery,Marathahalli,0
"302, 7th Cross Road, 1st Stage, Domlur, Bangalore",Biryani Point,No,No,3.7,0,Domlur,Quick Bites,,Biryani,300.0,Delivery,Indiranagar,0
"Pyramid Food Court, Embassy Golf Links Business Park, Inner Ring Road, Domlur, Bangalore",Rufi's Kati Roll,No,No,3.7,0,Domlur,Food Court,,Rolls,400.0,Dine-out,Old Airport Road,0
"2, Purva Riviera Shopping Complex, Marathahalli, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Delight,No,No,3.2,40,Marathahalli,"Cafe, Quick Bites",,"Cafe, Italian",400.0,Dine-out,Marathahalli,0
"22, St. Marks Road, Bangalore",Truffles,No,No,4.5,3614,St. Marks Road,Cafe,"Burgers, Pasta, Cheese Burger, Potato Mash, Mocktails, Ferrero Rocher Milkshake, Peri Chicken","Cafe, American, Burger, Steak",900.0,Dine-out,Brigade Road,1
"57, 1st Main Rd, Sarakki Industrial Layout, 3rd Phase, JP Nagar, Bengaluru",Levitate Brewery and Kitchen,No,Yes,3.7,0,JP Nagar,"Microbrewery, Casual Dining","Wheat Beer, Tiramisu, Lager, Rustica Pizza, Paneer Lollipop, Nachos, Chicken Peri Peri Kebab","Finger Food, North Indian, Continental",1500.0,Drinks & nightlife,BTM,0
"Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre, Prestige Shantiniketan, Whitefield, Bangalore",InAzia - Sheraton Grand Bengaluru Whitefield Hotel &...,No,Yes,4.3,246,Whitefield,Casual Dining,"Lobster, Papaya Salad, Pad Thai, Jasmine Rice, Hakka Noodles, Jasmine Tea, Coconut Ice Cream","Asian, Chinese",2500.0,Dine-out,Whitefield,1
"3, A Square Plaza, Ground Floor, ITPL Main Road, Near Brookefield Mall, Brookefield, Bangalore",Imperio Restaurant,Yes,Yes,4.2,841,Brookefield,Casual Dining,"Hyderabadi Biryani, Chicken Kebab, Butter Chicken, Corn Paratha, Kebab Platter, Chicken Dosa, Faluda","North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",700.0,Dine-out,Marathahalli,1
"4AM-501, G A Towers, HRBR 2nd Block, Outer Ring Road, Near Bus Depot, Kalyan Nagar, Bangalore.",Baskin Robbins,Yes,No,3.1,11,Kalyan Nagar,Dessert Parlor,,"Ice Cream, Desserts",250.0,Delivery,Kammanahalli,0
"29/1, 30th Cross, 4th T Block, Thilknagar, Jayanagar, Bangalore",Tawa Sagara,Yes,No,3.8,122,Jayanagar,Casual Dining,"Sea Food, Biryani, Fish Thali, Neer Dosa, Murgh Ghee Roast","Mangalorean, Seafood",700.0,Delivery,Basavanagudi,1
"17, 17th F Main, CMH Road, Indiranagar, Bangalore",Midnight Hunger Solutions 24/7,Yes,No,2.1,253,Indiranagar,Delivery,"Mutton Biryani, Chilli Paneer, Chicken Biryani","North Indian, Mughlai, Chinese",500.0,Delivery,Koramangala 4th Block,0
"1, Zameerulla Khan Building, 5th Cross, Near Sandhya Theater, VP Road, Madiwala",Pakiza Dilli Darbar Restaurant,Yes,No,3.2,13,BTM,Quick Bites,,Biryani,300.0,Dine-out,BTM,0
"16/3, Commissariat Road, Brigade Road, Bangalore",The Permit Room,No,No,4.5,1576,Brigade Road,"Casual Dining, Bar","Cocktails, Chicken Curry, Beer, Watermelon Mojito, Bbq Mushroom, Kokum Sharbat, Brain Fry",South Indian,1500.0,Pubs and bars,Church Street,1
"Ground Floor, Octave Hotel, Opposite Prestige Tech Park, Outer Ring Road, Kadubeesanahalli, Bellandur, Bangalore",Faasos,Yes,No,4.1,193,Bellandur,Quick Bites,"Rolls, Chicken Wrap, Veggie Wrap, Thali, Paneer Curry, Sabudana Vada, Sabudana Kheer","North Indian, Biryani, Fast Food",500.0,Delivery,Bellandur,1
"565, 8th Main Road, 4th Block, Koramangala 4th Block, Bangalore",Ibaco,Yes,No,4.2,348,Koramangala 4th Block,Dessert Parlor,"Icecream Cake, Hot Chocolate, Brownie, Fig N Honey, Chocolate Fudge, Custard Apple, Cream Cake",Desserts,300.0,Desserts,Koramangala 6th Block,1
"311, 2nd Floor, Gowra, Binnamangala, 1st Stage, Indiranagar, Bangalore",Power House Pitstsa,No,Yes,3.7,0,Indiranagar,Casual Dining,,"Continental, Burger, Desserts, Sandwich, Italian, Pizza, Bakery, Salad",800.0,Dine-out,Indiranagar,0
"76, Arrmstrong Road, Bharathi Nagar, Shivajinagar Area, Shivajinagar, Bangalore",Al Noor,No,No,3.8,22,Shivajinagar,Quick Bites,,"North Indian, Chinese, Arabian, Rolls",350.0,Dine-out,Frazer Town,0
"3rd Floor, Above SBI Bank, Hennur Road, Kammanahalli, Bangalore",FreshMenu,Yes,No,3.6,531,North Bangalore,Delivery,"Chicken Steak, Burgers, Salads, Potato Wedges, Salad, Fish, Rice Bowl","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Kammanahalli,0
"Shop C1, Food Court, 2nd Floor, Orion Mall, 26/1, 80 Feet Road, Dr. Rajkumar Road, Malleshwaram, Bangalore",Street Foods by Punjab Grill,Yes,No,3.8,43,Malleshwaram,Food Court,,"North Indian, Street Food, Kebab",800.0,Delivery,Rajajinagar,0
"111/4, GMR Abby Towers, Opposite Marthas Church, SGR Dental College Road, Mennenkolala, Marathahalli, Bangalore",Food Zone,Yes,No,3.4,308,Marathahalli,Quick Bites,"Roti, Fish Fry, Egg Noodles","North Indian, Chinese",300.0,Delivery,Brookefield,0
"2, Outer Ring Road",Palki's,No,No,3.0,155,Bellandur,Casual Dining,"Outdoor Sitting Arrangement, Vegetable Biryani, Dal Makhani, Veg Thali","North Indian, Biryani",800.0,Dine-out,Sarjapur Road,0
"Kadubeesanahalli, Near Aricent Technologies, Marathahalli, Bangalore",Hyderabad Biryaani House,Yes,No,3.7,833,Marathahalli,Casual Dining,"Hyderabadi Style Biryani, Tandoori Chicken, Mutton Biryani, Vegetable Biryani, Dum Biryani, Chicken Boneless Biryani, Lemon Chicken","Biryani, North Indian, Chinese",700.0,Dine-out,Marathahalli,0
"418/2, Green Leaf Layout, 80 Feet Road, Koramangala 4th Block, Bangalore",Pipabu,Yes,No,3.8,74,Koramangala 4th Block,Casual Dining,"Pasta, Pizza","Continental, Italian, Chinese",750.0,Delivery,Koramangala 4th Block,1
"Sheriff House, 85, Richmond Road, Bangalore",In Wok,Yes,No,3.6,118,Richmond Road,Casual Dining,"Chicken Lollipop, Crispy Spinach Chicken",Chinese,500.0,Delivery,Church Street,0
"Shop 123, KHB 1st Cross Road, Koramangala 5th Block, Bangalore",The Waffles Hut,Yes,No,3.8,23,Koramangala 5th Block,Dessert Parlor,,Desserts,400.0,Desserts,Koramangala 6th Block,0
"JP Nagar, Bengaluru",Zyksha,No,No,3.4,9,South Bangalore,Food Truck,,Fast Food,200.0,Delivery,JP Nagar,0
"4th Floor, Above Purvika Mobile, Beside BATA Showroom, New BEL Road, Bangalore",Burp,Yes,Yes,4.0,608,New BEL Road,Cafe,"Burgers, Chicken Soup, Minestrone Soup, Pasta, Au Gratin, Veggie Pizza, Chicken Burger","Cafe, Mexican, Italian, Pizza",800.0,Delivery,New BEL Road,1
"Kitchens@, 14th Main, 5th Sector, HSR, Bangalore",Al-Bek,Yes,No,3.6,140,HSR,"Takeaway, Delivery","Mutton Biryani, Chicken Biryani, Shawarma, Kalmi Kabab, Butter Chicken, Chicken Grill, Garlic Chicken","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300.0,Delivery,Koramangala 6th Block,0
"579,11th Cross, 26th A Main, BTM Layout 2nd Stage, BTM, Bangalore",Royal Hyderabadi Nights,No,No,3.7,0,BTM,"Takeaway, Delivery",,Hyderabadi,400.0,Delivery,Koramangala 5th Block,0
"Plot 2-1-11/A, House TS 8, Sarjapur Road, Bangalore",Punjabi Paratha House,No,No,3.7,0,Sarjapur Road,Delivery,,North Indian,300.0,Delivery,Bellandur,0
"5th Main, Sonnegowda Complex, Malleshpalya Main Road, Near Atal Behari Bajpayee Walking Track, Kaggadasapura, Bangalore",ToothSome,Yes,No,3.7,0,Kaggadasapura,Quick Bites,,"North Indian, Bengali, Chinese",400.0,Delivery,Old Airport Road,0
"No 175, 12th Cross Road, Neeladri Nagar, Electronics City, Electronic City, Bangalore",Esfahan Restaurant,Yes,No,3.5,148,Electronic City,Casual Dining,"Rolls, Mutton Biryani, Tawa Mutton, Chicken Roll, Laccha Paratha, Tawa Chicken","North Indian, Lucknowi, Mughlai, Biryani",700.0,Dine-out,Electronic City,0
"568/A, 2nd Block, HMT Layout, Vidyaranyapura Main Road, New BEL Road, Bangalore",Goli Vada Pav No. 1,Yes,No,3.7,38,New BEL Road,Quick Bites,,Street Food,200.0,Delivery,New BEL Road,0
"953, 7th Cross, 16th Main, 2nd Stage, BTM, Bangalore",Red Chilli,Yes,No,3.7,0,BTM,Quick Bites,,"Chinese, Biryani",400.0,Delivery,Koramangala 4th Block,0
"Sultan Shah Complex, Cunningham Road, Bangalore",Shezan,Yes,No,4.1,391,Cunningham Road,Casual Dining,"Mudpie, Butter Naan, Mutton Biryani, Kulfi, Steak, Sweet Corn Soup, Beef Chilli","Chinese, Continental, North Indian, Mughlai, Steak",600.0,Dine-out,Frazer Town,1
"17, Opposite Fatima Bakery, Richmond Road, Bangalore Richmond Road",Kabab Magic,Yes,No,3.9,74,Richmond Road,Casual Dining,,"North Indian, Kebab, Fast Food",500.0,Dine-out,Brigade Road,1
"Arshiya Lake View Residency, Mahadeshwara Nagar, Stage 2, BTM",Sri Krishna Delight,No,No,3.7,0,BTM,Quick Bites,,"North Indian, South Indian",250.0,Delivery,JP Nagar,0
"Hello Cravings! by Cafe Coffee Day 100 Feet Road MSK Plaza, 3rd Main Rd, Binnamangala, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038",Cafe Coffee Day,Yes,No,3.7,72,Indiranagar,Cafe,"Coffee, Brownie","Cafe, Fast Food",900.0,Delivery,Indiranagar,0
"3, 5th Block, 60 Feet Road, Koramangala 5th Block, Bangalore",Big Wong XL,No,Yes,4.5,685,Koramangala 5th Block,Casual Dining,"Noodles, Manchow Soup, Sake, Veg Sushi, Virgin Pinacolada, Tempura Prawns, Sea Food","Chinese, Sushi, Asian, Thai",1400.0,Dine-out,Koramangala 4th Block,1
"Behind MK Retail, Sarjapur Road, Bangalore",Byg Brewski Brewing Company,Yes,Yes,4.9,16345,Sarjapur Road,Microbrewery,"Cocktails, Dahi Kebab, Rajma Chawal, Butter Chicken, Craft Beer, Chicken Dumplings, Teriyaki Fish","Continental, North Indian, Italian, South Indian, Finger Food",1600.0,Dine-out,Bellandur,1
"14, 2nd Floor, Church Street, Bangalore",Oh! Calcutta,Yes,Yes,4.4,1112,Church Street,"Casual Dining, Bar","Fish, Curry Crab, Mocktails, Luchi, Kosha Mangsho, Sea Food, Daab Chingri","Bengali, Seafood",1200.0,Buffet,Church Street,1
"115,18th Main Road, Indiranagar, Bangalore",iSpice Resto Cafe,Yes,No,3.7,32,Indiranagar,Quick Bites,,"North Indian, Chinese, Fast Food",500.0,Dine-out,Old Airport Road,0
"92/3, Venkataswamy Building, Tulsi Theatre Main Road, Marathahalli, Bangalore",Jaffa's Biryani,Yes,No,3.8,434,Marathahalli,Casual Dining,"Mutton Biryani, Fish Biryani, Paneer Biryani, Egg Biryani, Vegetable Biryani, Raita, Hyderabadi Biryani","Biryani, North Indian, Chinese",650.0,Dine-out,Marathahalli,1
"43/A, 1st Main, Near Wipro Park, Jakkasandra Road, Koramangala 1st Block, Bangalore",B-hive,No,Yes,4.3,1561,Koramangala 1st Block,Pub,"Tandoori Chicken, Cocktails, Noodles, Paneer Tikka, Beer, Nachos, Pasta","Finger Food, North Indian",1200.0,Drinks & nightlife,Koramangala 6th Block,1
"348, 17th B Main Road, KHB Block, Koramangala 5th Block, Bangalore",Mizo Kitchen,No,No,3.8,27,Koramangala 5th Block,Quick Bites,,"North Eastern, Chinese",400.0,Dine-out,Koramangala 7th Block,0
"413, 7th Cross, Oppsite to HDFC Bank, Domlur, Bangalore",Donne Biriyani Mane,Yes,No,3.1,21,Domlur,Quick Bites,,"Biryani, North Indian",250.0,Delivery,Koramangala 4th Block,0
"Ginger Hotel, Amarjyothi Layout, Inner Ring Road, Domlur, Bangalore",Avanti Indian Barbeque & Grill,No,No,3.4,46,Domlur,Casual Dining,Garlic Naan,North Indian,1100.0,Delivery,Koramangala 6th Block,0
"33rd Main Road, KR Layout, Phase 2, JP Nagar, Bangalore",Thindi Mane,No,No,3.4,6,JP Nagar,Quick Bites,,South Indian,300.0,Dine-out,JP Nagar,0
"Krimson square, Near Central Silk Board Junction, Hosur Main Road, Bommanahalli, Bangalore",Raja Foodpath,No,No,3.7,0,Bommanahalli,Quick Bites,,"North Indian, South Indian, Chinese",200.0,Dine-out,Koramangala 4th Block,0
"643, Indiqube Octagon, 80 Feet Road, Koramangala 4th Block, Bangalore",Qube Cafe,Yes,No,4.2,169,Koramangala 4th Block,Cafe,"Pizza, Coffee, Burgers, Pasta, Tiramisu, Sandwiches, Tea","Cafe, Desserts",700.0,Delivery,Koramangala 5th Block,1
"11, 80 Feet Road, Next to SBI, Koramangala 1st Block, Bangalore",Bistro Claytopia,Yes,Yes,4.1,1855,Koramangala 1st Block,Cafe,"Burgers, Coffee, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich","Cafe, American, Italian, Burger",600.0,Dine-out,Koramangala 5th Block,1
"414A, 7th Main Road, HRBR Layout 1st Block, Kalyan Nagar, Bangalore",Mavalli Tiffin Room (MTR),No,No,4.1,208,Kalyan Nagar,Quick Bites,"Coffee, Rava Idli, Kesari Bath, Rava Masala Dosa, Thali, Badam Halwa, Vada",South Indian,250.0,Dine-out,Kammanahalli,1
"900, 80 Feet Main Road, Eat Street , Koramangala 6th Block, Bangalore",DeliToons,No,No,4.0,126,Koramangala 6th Block,Quick Bites,"Sandwiches, Sandwich, Salads, Shahi Paneer","Sandwich, Pizza, Salad",300.0,Dine-out,Koramangala 4th Block,1
"398, 7th Cross, MICO Layout, 2nd Stage",Gelato Pazzo,No,No,3.8,47,BTM,Dessert Parlor,,Desserts,200.0,Desserts,Jayanagar,0
"11, Opposite Karnataka Vedika Office, Venkatapura Main Road, 7th Cross, Koramangala 1st Block, Bangalore",Kerala Mess,Yes,No,3.4,19,Koramangala 1st Block,Quick Bites,,Kerala,200.0,Dine-out,Koramangala 5th Block,0
"Kasturi Bai Complex, Hennur Main Road, Hennur, Bangalore",Sandesh Restaurant,Yes,No,2.9,4,Hennur,Quick Bites,,"Biryani, Chinese, North Indian, Bengali",350.0,Dine-out,Kammanahalli,0
"Shop 77, First Stage, Fifth Phase, thimmaiah road, Rajajinagar, Bangalore",Chikkanna Biryani Hotel,No,No,3.7,0,Basaveshwara Nagar,Quick Bites,,"South Indian, Biryani",300.0,Dine-out,Rajajinagar,0
"703, Near Karnataka Bank, 5th Block, HMT Layout, Vidyaranyapura, New BEL Road Area, New BEL Road, Bangalore",A2B - Adyar Ananda Bhavan,Yes,No,3.0,50,New BEL Road,Casual Dining,Pongal,"South Indian, North Indian, Chinese, Street Food, Fast Food",400.0,Dine-out,New BEL Road,0
"Neeldari Nagar, Electronic City, Phase 1 Bangalore",Eatery,No,No,3.7,0,Electronic City,Quick Bites,,Fast Food,100.0,Dine-out,Electronic City,0
"436, 18th Main, 80 Feet Road, Koramangala 6th Block, Bangalore",Zee5 Loft,Yes,No,4.4,363,Koramangala 6th Block,Cafe,"Tomato Soup, Brownie Shake, Pizza, Salad, Fries, Chicken Bbq Wings, Pasta","Cafe, North Indian, Pizza, Sandwich, Salad",500.0,Cafes,Koramangala 6th Block,1
"3762, Amaji Arcade, Hessargatta Main Road, Banglagunte, Jalahalli, Bangalore",Chawla's 2 Online.com,Yes,No,3.7,0,Jalahalli,Delivery,,North Indian,800.0,Delivery,Basavanagudi,0
"44, Kutchi Bhavan, Opposite To Mini Forest, 1st Main, JP Nagar 3rd Phase, JP Nagar, Bangalore",Mavalli Tiffin Room (MTR),No,No,4.2,875,JP Nagar,Quick Bites,"Masala Dosa, Coffee, Pongal, Rava Idli, Badam Halwa, Thali, Vada",South Indian,300.0,Dine-out,Jayanagar,1
"Ground Floor, 403, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Paranthas and Dosas,No,No,3.7,300,Kalyan Nagar,Quick Bites,"Aloo Paratha, Masala Dosa, Coffee, Dahi Vada, Paneer Parantha, Sweet Lassi, Mix Veg Parantha","North Indian, South Indian",400.0,Dine-out,Kammanahalli,0
"Kitchens, 1st Floor Skywards Sun Park, Neeladri Road, Karuna Nagar, Phase 1, Electronic City, Bangalore",The Duke of Juices,No,No,3.7,0,Electronic City,"Takeaway, Delivery",,"Juices, Beverages, Salad",200.0,Delivery,Electronic City,0
"3, 27th Main, VGS Layout Ejipura, Ejipura, Bangalore",Desi Tadka,No,No,3.7,0,Ejipura,Quick Bites,,North Indian,200.0,Dine-out,Koramangala 4th Block,0
"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,,"Bakery, Desserts",300.0,Desserts,Banashankari,1
"37, Diagonally Opposite Ranga Shankara, 2nd Phase, JP Nagar, Bangalore",Adithya,Yes,No,4.0,332,JP Nagar,Quick Bites,"Neer Dosa, Coffee, Pav Bhaji, Khali Dosa, Panipuri, Masala Dosa, Tea","South Indian, North Indian, Chinese",300.0,Delivery,Bannerghatta Road,1
"1/8, 1st Stage, 1st Cross, KK Computers Building, Shri Krishna Temple Road, Indiranagar, Bangalore",eat.fit,Yes,No,4.4,882,Indiranagar,Delivery,"Salads, Sandwiches, Chicken Curry, Dal Makhani, Paratha, Noodles, Apple Mojito","Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,Delivery,Residency Road,1
"L-9, 10th Main, Sector 11, Jeevan Bhima Nagar Main Road, Opposite NAL Colony, Jeevan Bhima Nagar, Bangalore",No More Hungry,Yes,No,3.3,214,Jeevan Bhima Nagar,"Takeaway, Delivery","Thali, Lassi, Litti, Pav Bhaji, Chole Bhature, Aloo Paratha",North Indian,450.0,Dine-out,Old Airport Road,0
"Ground Floor, Vims Hospital Buidling, Opposite to More, Marathahalli, Bangalore",Bahar Cafe,Yes,Yes,4.0,914,Marathahalli,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Butter Naan, Ulvacharu Biryani, Vegetable Biryani, Mutton Biryani, Raita","Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",750.0,Delivery,Marathahalli,1
"537, 1st Main, Near Bethani School, 8th Block, Koramangala 8th Block, Bangalore",Sri Ganesh Juice Junction,Yes,No,4.1,210,Koramangala 8th Block,Beverage Shop,"Sandwiches, Sandwich, Omelette, Cheese Maggi","Beverages, Juices, Fast Food",150.0,Delivery,Brigade Road,1
"Shop 17, Smodo 3.0, Neotown, Phase 1, Electronic City, Bangalore",Pimento,Yes,No,3.7,95,Electronic City,Quick Bites,"Chicken Grill, Cheese Balls, Vegetable Noodles","Chinese, Fast Food, Italian",400.0,Dine-out,Electronic City,0
"324, 7th Cross, 7th Main, Near Indus Diagnostics, 2nd Stage, BTM, Bangalore",Drunken Monkey,Yes,No,4.2,116,BTM,"Beverage Shop, Quick Bites","Sandwiches, Fruit Juices, French Fries, Irish Coffee","Beverages, Fast Food",400.0,Delivery,Jayanagar,1
"307/1, 1st Main Cross, Next to Essar Petrol Bunk, 1st Block Koramangala, Bengaluru",Paratha Darbar,Yes,No,3.5,15,Koramangala 1st Block,Quick Bites,,North Indian,400.0,Delivery,Koramangala 4th Block,0
"1st Main, GK Tower, Koramangala 4th Block, Bangalore",Sober Turtle,No,No,3.3,39,Koramangala 4th Block,Quick Bites,,"Street Food, Sandwich, Beverages",250.0,Delivery,Koramangala 7th Block,0
"Near MVJ College, Channasandra Main Road, Whitefield, Bangalore",SRF Family Restaurant,No,No,3.7,0,Whitefield,Quick Bites,,"Chinese, North Indian",250.0,Dine-out,Whitefield,0
"605, AECS Layout, Kundanahalli, Brookefield, Bangalore",Kesar Sweet Shop and Fast Food,No,No,4.1,1143,Brookefield,Quick Bites,"Chole Bhature, Chaat, Jalebi, Puri Sabzi, Buttermilk, Dhokla, Panipuri","North Indian, South Indian, Chinese, Street Food, Mithai",500.0,Desserts,Marathahalli,1
"36, Vittal Mallya Road, Lavelle Road, Bangalore",Bootlegger,No,No,4.1,1545,Lavelle Road,Pub,"Beer, Cocktails, Beef Steak, Beef Chilli, Nachos, Pasta, Pizza","Continental, Steak",1200.0,Pubs and bars,MG Road,1
"14, Krishnanagara Industrial Area, Next To Christ College, Near Dairy Circle, BTM, Bangalore",Dadi's Dum Biryani,Yes,Yes,4.1,2732,BTM,Casual Dining,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab","Biryani, North Indian, Mughlai",800.0,Dine-out,Koramangala 7th Block,1
"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",1441 Pizzeria,Yes,No,3.7,149,JP Nagar,Casual Dining,"Hot Chocolate, Jalapeno Poppers, Masala Lemonade, Gourmet Pizza, Nutella Pizza, Thin Crust Pizza, Wood Fire Pizza","Pizza, Salad",800.0,Dine-out,Jayanagar,0
"118, Unit 1, Bavar Atrium, Industrial Area, Koramangala 7th Block, Bangalore",Burger King,Yes,No,3.9,1043,Koramangala 7th Block,Quick Bites,"Burgers, Chicken Crisp Burger, Chicken Whopper, Chicken Keema Burger, Chicken Fries, Mutton Whopper, Chocolate Shake","Burger, Fast Food, Beverages",600.0,Dine-out,BTM,1
